Author,Yield Stresses of Vertical Bars (MPa),Yield Stresses of Horizontal Reinforcement (MPa),Yield Stress of Confinement Reinforcement (MPa),Concrete Compressive Strength (MPa),Web Vertical Reinforcement Ratio,Boundary Region Vertical Reinforcement Ratio,Web Horizontal Reinforcement Ratio,Boundary Region (Volume) Horizontal Reinforcement Ratio,Section,lw/tw,Aspect ratio,Ab/Ag,P/fcAg,FailureMode,Experiment ID
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,1,0,0.417281582,2,Zhang_SW2-1
Mansur et al. (1992),429,429,460,31.4,0.0055,0.0314,0.0055,0.0028,B,11.66666667,0.857142857,0.243902439,0,2,W2
Dabbagh (2005),500,500,500,53.72,0.013,0.042976625,0.013,0.001368736,F,10.66666667,1.25,0.277777778,0.112403101,2,SW2
Hidalgo et al. (2002),366,366,366,17,0.0013,0.053333333,0.0026,0.0026,R,14,0.5,0,0,2,12
Dabbagh (2005),500,500,500,63.99,0.008,0.045860167,0.008,0.001000377,F,10.66666667,1.25,0.277777778,0.092592593,2,SW3
Aanasopoulou (2010),341.9362726,341.9362726,250.5658401,37.03865072,0.0071,0.0098,0.0071,0.1282777,R,10,1.3,0,0,1,S6
Jiang et al. (2013),450.1,435.2,450.1,28,0.0066,0.0125,0.0066,0.00337,F,8,2.5,0.277777778,0.3,1,SW4
Cheng et al. (2016),453,453,453,39,0.0031,0.0316,0.0031,0.0283,R,10.00985222,1,0,0,2,M60
Hirosawa (1975),401.8,401.8,401.8,26.5,0.0043,0.0071,0.0049,0.000707761,F,14.8,0.581081081,0.242339833,0,2,Kokusho_2-1 (42)
Salonikios et al. (1999),585,610,610,21.6,0.0028,0.013,0.0028,0.017,R,12,1,0,0,2,LSW2
Hirosawa (1975),323.4,323.4,323.4,40.8,0.0122,0.047,0.0122,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_4-12 (129)
Hirosawa (1975),294,294,294,46.3,0.0244,0.047,0.0244,0.001570796,B,45,1.066666667,0.307692308,0,2,Tanabe_4-1 (118)
Pilakoutas et al. (1995),545,400,400,45.8,0.0031,0.0293,0.0031,0.0041,R,10,2,0,0,1,SW8
Salonikios et al. (1999),610,610,610,26.2,0.0028,0.013,0.0028,0.011,R,12,1.5,0,0,1,MSW2
Hirosawa (1975),284.2,284.2,294,34.3,0.0183,0.047,0.0183,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_2-5 (101)
Kabeyasawa and Matsumoto (1992),776,1262,1262,74.88,0.004850206,0.01888,0.01416,0.01128,B,16.25,2.307692308,0.217391304,0.102424749,2,NW-2
Kuang and Ho (2008),520,520,520,33.8,0.0092,0,0.0105,0.021,R,12,1,0,0,1,U1.5-BC
Aanasopoulou (2010),336.669189,336.669189,261.1119075,36.49396468,0.0071,0.0053,0.0071,0.064468371,R,10,1,0,0,1,S1
Zhang and Wang (2000),305,305,305,36.8,0.0067,0.0088,0.0101,0.12,R,7,2.142857143,0,0.193695652,1,SW7
Chiou et al. (2004),458.72,458.84,458.84,23.45,0.003752,0.010828938,0.00197422,0.002961331,B,12.5,1.333333333,0.003448276,0,2,LWF1
Kabeyasawa and Matsumoto (1992),726,1233,1233,43.68,0.001991405,0.024670193,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.156075808,2,NW-4
Hirosawa (1975),323.4,323.4,323.4,43.1,0.0163,0.047,0.0163,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_4-8 (125)
Yanez et al. (1991),475,475,475,34,0.005,0.005,0.004,0.004,R,16.66666667,1.15,0,0,1,S1
Hube et al. (2017),446,446,446,28.9,0.0014,0.001374888,0.0014,0.008,R,16,1.09375,0,0,2,WSL6
Liu et al. (2009),438,443,442.7,130.8,0.0147,0.0555,0.0245,0.0226,B,6.684210526,5,0.384848485,0.026372088,1,M20C
Cheng et al. (2016),475,475,453,44,0.0082,0.052,0.0082,0.0283,R,10.00985222,1,0,0,2,H60
Alarcon et al. (2014),469.2,608.9,469.2,27.4,0.0072,0.0045,0.0044,0,R,7,2.5,0,0.350156413,1,W3
Terzioglu et al. (2018),584,584,473,24,0.0034,0.0515,0.0034,0.0034,R,12.5,0.5,0,0,2,T1-S2-9
Hirosawa (1975),571,571.3,284.2,20.6,0.0066,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-1 (140)
Terzioglu et al. (2018),481,481,440,23.7,0.0034,0.0515,0.0034,0.0034,R,12.5,0.5,0,0,2,T1-S1-2
Su and Wong (2007),412,262,412,50.9,0.0196,0,0.0054,0,R,5,3.7875,0,0.499401914,1,W2
SLDRCE (2008),352,392,392,37.7,0.006230058,0.0167,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW4-2
Hirosawa (1975),284.2,284.2,284.2,20.5,0.0069,0.0177,0.0066,0.000567232,B,27,0.5,0.2,0,2,Sugano_2-6 (145)
Teng and Chandra (2016),630,610,617,93.5,0.0028,0.0693,0.0028,0.0285,B,4.4,2.727272727,0.302158273,0.05,2,J4
Hirosawa (1975),323.4,323.4,323.4,44.4,0.0163,0.047,0.0163,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_4-9 (126)
Hirosawa (1975),294,294,294,40,0.0122,0.047,0.0122,0.001570796,B,15,1.066666667,0.173913043,0,2,Tanabe_3-5 (114)
Hirosawa (1975),323.4,323.4,401.8,14.2,0.0045,0.0152,0.0043,0.000569661,F,15.41666667,1.081081081,0.247440273,0,2,Kokusho_3-4 (51)
Teng and Chandra (2016),630,610,617,96.8,0.0075,0.0388,0.0028,0.0253,F,7.6,2.894736842,0.306122449,0.05,2,J6
SLDRCE (2008),352,392,392,37.7,0.007476069,0.0134,0.005980855,0.009345087,R,8,2,0,0.417281582,1,Zhang_SW5-1
SLDRCE (2008),526.7,345,345,37.3,0.007,0.0372,0.0084,0.014,R,12,2.611111111,0,0.197005516,1,Zhou_SW1
Terzioglu et al. (2018),481,481,440,25.8,0.0068,0.0515,0.0068,0.0068,R,12.5,0.5,0,0,2,T2-S2-3
Su and Wong (2007),412,262,412,49.6,0.0196,0,0.0108,0,R,5,3.7875,0,0.486596737,1,W3
Hirosawa (1975),284.2,284.2,294,35.8,0.0092,0.047,0.0092,0.001570796,B,11.25,1.066666667,0.142857143,0,2,Tanabe_2-13 (109)
Park et al. (2015),653,667,667,46.1,0.0036,0.097,0.0025,0,R,7.5,1.166666667,0,0.070137383,2,S5
Hirosawa (1975),323.4,323.4,323.4,45.1,0.0244,0.047,0.0244,0.001570796,B,22.5,1.066666667,0.222222222,0,2,Tanabe_4-6 (123)
Kuang and Ho (2008),520,520,520,30.4,0.0092,0,0.0105,0,R,12,1,0,0,1,U1.0
Liu et al. (2009),481,503.3,503,80.1,0.0147,0.053,0.0184,0.0358,B,6.684210526,5,0.384848485,0.043064533,1,M15C
Pilakoutas et al. (1995),540,400,400,31.8,0.0047,0.0302,0.0031,0.0017,R,10,2,0,0,2,SW5
Barda et al. (1977),526,494.7,473.3,28.9,0,0.041,0.005,0.003652109,F,16.68627451,0.559929495,0.208761123,0,2,B5-4
Tomazevic et al. (1996),469,469,465,41.1,0.0038,0.06,0.0038,0,R,19.4,1.443298969,0,0.051094891,2,SW60N1
Teng and Chandra (2016),630,610,617,103.3,0.0028,0.0388,0.0028,0.0253,F,7.6,1.578947368,0.306122449,0.05,2,J1
Hube et al. (2017),446,604,604,28.9,0.002,0.001964126,0.002,0.008,R,16,1.09375,0,0,2,WSL1
Kabeyasawa and Matsumoto (1992),726,1233,1233,44.4,0.001991405,0.018541928,0.00984,0.00784,B,16.25,2.307692308,0.217391304,0.134351743,2,NW-3
Lefas et al. (1990a),470,520,420,32.48,0.024,0.031,0.011,0.012,R,10.71428571,1.1,0,0.208186723,1,SW13
